Date,Price
8/31/2019,9875.48
8/30/2019,9774.99
8/29/2019,10033.57
8/28/2019,10318.14
8/27/2019,10463.93
8/26/2019,10364.88
8/25/2019,10385.75
8/24/2019,10581.6
8/23/2019,10361.49
8/22/2019,10340.89
8/21/2019,10854.61
8/20/2019,10967
8/19/2019,10496.12
8/18/2019,10424.22
8/17/2019,10529.88
8/16/2019,10479.22
8/15/2019,10159.05
8/14/2019,10936.91
8/13/2019,11410.3
8/12/2019,11571.14
8/11/2019,11332.29
8/10/2019,11885.95
8/9/2019,11986.99
8/8/2019,11926.76
8/7/2019,11437.77
8/6/2019,11741.49
8/5/2019,10945.73
8/4/2019,10802.52
8/3/2019,10555.76
8/2/2019,10420.81
8/1/2019,10143
7/31/2019,9726.65
7/30/2019,9690.47
7/29/2019,9725.86
7/28/2019,9702.4
7/27/2019,9949.35
7/26/2019,9974.79
7/25/2019,9944.27
7/24/2019,10001
7/23/2019,10397.31
7/22/2019,10642.95
7/21/2019,10750.5
7/20/2019,10577.26
7/19/2019,10651
7/18/2019,9791.96
7/17/2019,9563.5
7/16/2019,11013.49
7/15/2019,10321.49
7/14/2019,11419.3
7/13/2019,11851.91
7/12/2019,11383.16
7/11/2019,12143.4
7/10/2019,12425.4
7/9/2019,12075
7/8/2019,11373.19
7/7/2019,11232.47
7/6/2019,10950.53
7/5/2019,11192.68
7/4/2019,11800
7/3/2019,10708.19
7/2/2019,10655.02
7/1/2019,10706.39
6/30/2019,11811.67
6/29/2019,12382.97
6/28/2019,11090
6/27/2019,12763.93
6/26/2019,11400
6/25/2019,10790.01
6/24/2019,10601
6/23/2019,10385.47
6/22/2019,9961.55
6/21/2019,9450
6/20/2019,9214.51
6/19/2019,9012
6/18/2019,9115.5
6/17/2019,8837
6/16/2019,8781.22
6/15/2019,8640.5
6/14/2019,8213.33
6/13/2019,8138.5
6/12/2019,7902.32
6/11/2019,7988.3
6/10/2019,7666.78
6/9/2019,7959.8
6/8/2019,8005.25
6/7/2019,7805
6/6/2019,7834.07
6/5/2019,7714.5
6/4/2019,8145.5
6/3/2019,8652.19
6/2/2019,8484.99
6/1/2019,8537
5/31/2019,8317.7
5/30/2019,8500
5/29/2019,8500
5/28/2019,8494.13
5/27/2019,8334
5/26/2019,7872.5
5/25/2019,7854.33
5/24/2019,7815.6
5/23/2019,7650
5/22/2019,7869.72
5/21/2019,7897
5/20/2019,8001
5/19/2019,7270
5/18/2019,7314.99
5/17/2019,7666
5/16/2019,7900
5/15/2019,7866.81
5/14/2019,7800
5/13/2019,6960
5/12/2019,7190
5/11/2019,6431.33
5/10/2019,6215.13
5/9/2019,5974.98
5/8/2019,5775.83
5/7/2019,5664.72
5/6/2019,5756.5
5/5/2019,5755.21
5/4/2019,5642.38
5/3/2019,5459.89
5/2/2019,5374.88
5/1/2019,5341
4/30/2019,5297
4/29/2019,5362.41
4/28/2019,5380.36
4/27/2019,5367.7
4/26/2019,5275
4/25/2019,5477
4/24/2019,5561.39
4/23/2019,5423.3
4/22/2019,5337.41
4/21/2019,5346.66
4/20/2019,5313.38
4/19/2019,5295.8
4/18/2019,5260.89
4/17/2019,5218.29
4/16/2019,5081.45
4/15/2019,5193.77
4/14/2019,5145.17
4/13/2019,5139.63
4/12/2019,5098.71
4/11/2019,5333.3
4/10/2019,5234.27
4/9/2019,5297.72
4/8/2019,5171.18
4/7/2019,5065
4/6/2019,5018.51
4/5/2019,4871.63
4/4/2019,4954.68
4/3/2019,4811.51
4/2/2019,4168.16
4/1/2019,4135.59
3/31/2019,4149.99
3/30/2019,4156
3/29/2019,4071.22
3/28/2019,4089.14
3/27/2019,4004.12
3/26/2019,3997.16
3/25/2019,4053.15
3/24/2019,4065.2
3/23/2019,4055.99
3/22/2019,4066
3/21/2019,4120
3/20/2019,4092.95
3/19/2019,4068.18
3/18/2019,4062.01
3/17/2019,4075
3/16/2019,3985
3/15/2019,3956
3/14/2019,3958.74
3/13/2019,3961.25
3/12/2019,3948
3/11/2019,3985.14
3/10/2019,3996.86
3/9/2019,3943.55
3/8/2019,3947.81
3/7/2019,3920.78
3/6/2019,3933.1
3/5/2019,3834.57
3/4/2019,3919.26
3/3/2019,3929.4
3/2/2019,3935.86
3/1/2019,3913.25
2/28/2019,3915.52
2/27/2019,3910.93
2/26/2019,3933.67
2/25/2019,3880
2/24/2019,4160.5
2/23/2019,4045
2/22/2019,3982.06
2/21/2019,4027.5
2/20/2019,3968.6
2/19/2019,3929.7
2/18/2019,3752.97
2/17/2019,3715.59
2/16/2019,3675.06
2/15/2019,3668.04
2/14/2019,3688.43
2/13/2019,3690
2/12/2019,3675.92
2/11/2019,3733.7
2/10/2019,3709.44
2/9/2019,3695.07
2/8/2019,3466.57
2/7/2019,3472.28
2/6/2019,3532.33
2/5/2019,3508.52
2/4/2019,3504.1
2/3/2019,3552.1
2/2/2019,3541.4
2/1/2019,3500.76
1/31/2019,3526
1/30/2019,3501.97
1/29/2019,3538
1/28/2019,3643.02
1/27/2019,3673.98
1/26/2019,3671
1/25/2019,3680.12
1/24/2019,3677.24
1/23/2019,3700.5
1/22/2019,3660
1/21/2019,3680
1/20/2019,3791.22
1/19/2019,3731.92
1/18/2019,3757.7
1/17/2019,3723.54
1/16/2019,3709.98
1/15/2019,3792.6
1/14/2019,3630
1/13/2019,3746
1/12/2019,3765
1/11/2019,3766.99
1/10/2019,4084.3
1/9/2019,4093.47
1/8/2019,4085.3
1/7/2019,4146.6
1/6/2019,3910.22
1/5/2019,3940
1/4/2019,3899.14
1/3/2019,4014
1/2/2019,3943.76
1/1/2019,3814.16
12/31/2018,3955
12/30/2018,3854.37
12/29/2018,3986.2
12/28/2018,3740.01
12/27/2018,3937.34
12/26/2018,3905
12/25/2018,4158
12/24/2018,4030
12/23/2018,4090
12/22/2018,3937
12/21/2018,4184.76
12/20/2018,3771.9
12/19/2018,3733.2
12/18/2018,3578.1
12/17/2018,3292.42
12/16/2018,3293.46
12/15/2018,3316.9
12/14/2018,3417
12/13/2018,3559.94
12/12/2018,3499.26
12/11/2018,3554.22
12/10/2018,3667.18
12/9/2018,3544.54
12/8/2018,3537.38
12/7/2018,3670.67
12/6/2018,3890
12/5/2018,4097.42
12/4/2018,4023.7
12/3/2018,4246.61
12/2/2018,4304.3
12/1/2018,4138.06
11/30/2018,4405.9
11/29/2018,4375
11/28/2018,3930.3
11/27/2018,3899.49
11/26/2018,4100
11/25/2018,4018.19
11/24/2018,4483.35
11/23/2018,4497
11/22/2018,4777.97
11/21/2018,4632.06
11/20/2018,4978.83
11/19/2018,5823.49
11/18/2018,5802
11/17/2018,5852.2
11/16/2018,5915.8
11/15/2018,5970.2
11/14/2018,6522.2
11/13/2018,6492.07
11/12/2018,6526
11/11/2018,6523.4
11/10/2018,6472.83
11/9/2018,6535.2
11/8/2018,6580
11/7/2018,6530.94
11/6/2018,6455.46
11/5/2018,6495.03
11/4/2018,6450.8
11/3/2018,6465.6
11/2/2018,6485.61
11/1/2018,6461.76
10/31/2018,6443.03
10/30/2018,6450
10/29/2018,6570.27
10/28/2018,6599.9
10/27/2018,6605.74
10/26/2018,6602.9
10/25/2018,6602
10/24/2018,6591.7
10/23/2018,6560
10/22/2018,6603.9
10/21/2018,6609.9
10/20/2018,6577.5
10/19/2018,6651.63
10/18/2018,6690
10/17/2018,6688.6
10/16/2018,6677.83
10/15/2018,6471.93
10/14/2018,6453
10/13/2018,6429.97
10/12/2018,6387.08
10/11/2018,6636.37
10/10/2018,6649.97
10/9/2018,6684.28
10/8/2018,6646
10/7/2018,6617
10/6/2018,6664.8
10/5/2018,6624.95
10/4/2018,6591.16
10/3/2018,6609.35
10/2/2018,6620
10/1/2018,6624.7
9/30/2018,6618.8
9/29/2018,6650
9/28/2018,6680
9/27/2018,6463
9/26/2018,6450
9/25/2018,6580
9/24/2018,6675
9/23/2018,6717.16
9/22/2018,6697.38
9/21/2018,6514.04
9/20/2018,6425.5
9/19/2018,6387
9/18/2018,6333
9/17/2018,6527.08
9/16/2018,6530
9/15/2018,6517.7
9/14/2018,6520
9/13/2018,6423
9/12/2018,6400
9/11/2018,6428.87
9/10/2018,6404.17
9/9/2018,6345.61
9/8/2018,6530.1
9/7/2018,6590
9/6/2018,6754.5
9/5/2018,7348.17
9/4/2018,7260.04
9/3/2018,7278.88
